Critic Loss,Generator Loss
-2.7670521121814136,-0.2884376918773576
-1.3421240546694304,-2.0562237170320112
-1.2158178120114485,-1.3075258403952434
-1.1689574708566683,-0.7564697981026762
-1.1520834213665356,-0.6992423399407386
-1.1410256429886003,-0.8606422658676794
-1.1380198215282096,-0.8592910295567532
-1.1361102456832795,-0.9648160948233812
-1.13278394433738,-0.8504436573296
-1.1286735659256941,-0.6238629738415974
-1.1267871396900382,-0.4137352859461655
-1.1251864949155537,-0.25878845819542845
-1.1250941425123058,-0.164093511294389
-1.1268150336101364,-0.06537110567678271
-1.126358930038484,-0.020648441772797368
-1.1260747798703474,0.054357472066517226
-1.125419690346078,0.1578435356338029
-1.1235313111066365,0.21251528470687103
-1.1229699444478538,0.3048129351177082
-1.1228567337451485,0.3349715256077247
-1.1225677685382958,0.38779141539351525
-1.1216303304617128,0.4506334081396764
-1.128030123338448,0.4738331989138926
-1.1279307915362187,0.48183425025372867
-1.1257383795725495,0.5822760006120761
-1.12709873033801,0.5769049530770519
-1.1306244399421328,0.5353968335498951
-1.1335738189802884,0.4297329320905955
-1.1481513146446465,-0.04932522053384526
-1.203553468318537,-0.6405677185914408
-1.240997747489832,-0.7584796550456767
-1.255905572684077,-0.7083436521740707
-1.2643751066160103,-0.6481954431799289
-1.2699399021302442,-0.6188482741656889
-1.2747635272680284,-0.6043244876548325
-1.2774062014240988,-0.5929235878356497
-1.2804693624957488,-0.5718877046453104
-1.2833631970782087,-0.5794845952192579
-1.2853319445528906,-0.6078316672613795
-1.2873263237105768,-0.6522395751092416
-1.2875998539163611,-0.6811638178184213
-1.2867269641694092,-0.6982717491774252
-1.286565499980579,-0.6528460847337783
-1.2867839131790202,-0.7159876008329018
-1.2866638669354222,-0.8027536099600131
-1.2879772493233426,-0.7979980229092423
-1.2905052686984522,-0.8583529582837962
-1.2904186334288226,-0.976031027088877
-1.2901957420418484,-1.1591104129132435
-1.289201299797243,-1.2443159375627046
-1.29015150852809,-1.3306305777327643
-1.2913242602265635,-1.4119327468779632
-1.2926286050573232,-1.4564456393085385
-1.2933606490635758,-1.5088349008201467
-1.2921400993543495,-1.5787751918194177
-1.2915769788306364,-1.6981262146623926
-1.2928388441624075,-1.7911712067501977
-1.2923218605441,-1.8538196271496286
-1.293235716120342,-1.9343541741056935
-1.2924453354292997,-2.007284678842657
-1.2938632295933032,-2.083710251028033
-1.293268840807945,-2.147177146817333
-1.2940077754861712,-2.1991331139307606
-1.2950860749624464,-2.237933099016047
-1.2936800656343175,-2.277283411913867
-1.2938196027238946,-2.299353419864892
-1.2936383481578908,-2.331128899353195
-1.294331781230268,-2.3668413801603414
-1.2937056241348865,-2.387861169576721
-1.2920153903979237,-2.356330464054237
-1.2945301236764415,-2.427879831574087
-1.2938860822234763,-2.490012730457592
-1.2945995003407833,-2.5608307561413106
-1.2940852555383737,-2.5976209495791514
-1.2949144881218366,-2.636165257458083
-1.2947139868330575,-2.6641880703910683
-1.2945680548119385,-2.672939413366943
-1.2943965886829343,-2.7212060233959856
-1.2945281123391719,-2.7226373460322684
-1.294395520739728,-2.734319411676974
-1.2949939258187342,-2.781790375595865
-1.2950028592586982,-2.859768773025821
-1.2930709508846119,-2.9315989036778367
-1.292941514642458,-2.963871756818262
-1.2929513775511154,-2.9856103981683004
-1.2927338499646879,-3.0296719575976385
-1.2920036600669205,-3.088212992063539
-1.2913479610110126,-3.1138572628660475
-1.291689638490315,-3.144114927932649
-1.2932448826694507,-3.205530191823446
-1.2929189137605515,-3.2806735300493397
-1.2933742836794346,-3.341561363134484
-1.2930999098925733,-3.3907024448587753
-1.2934581850564628,-3.447497045729687
-1.293216724364304,-3.500881070065842
-1.293606503445242,-3.5555555491136293
-1.2945309785688826,-3.6146357959523883
-1.2916909835163,-3.6714429655468495
-1.2942669665733726,-3.7276939911863503
-1.294119595075078,-3.788131191271835
-1.2943828733791913,-3.841988485349427
-1.2952915021572224,-3.8851657055894893
