Critic Loss,Generator Loss
-2.7957506472795752,-0.5679299574014115
-1.3635444461008295,-2.204916293582539
-1.2289774648572134,-1.3251180776329063
-1.1795489589403527,-0.8222192125369218
-1.1616706761545343,-0.6201392531613432
-1.161291166708988,-0.4920411370429877
-1.157028738630073,-0.45667062390665497
-1.155755978034088,-0.46459941133789306
-1.1524321811245652,-0.5259591956433749
-1.150688470404628,-0.5266013306124988
-1.1518701409899665,-0.5373918368901346
-1.149635711195218,-0.5191055424555157
-1.1475772876082353,-0.5079496840362344
-1.144278530564468,-0.4641067406605833
-1.144161718394887,-0.46968067905289324
-1.1447279450938108,-0.40762687553042803
-1.1476891496305925,-0.3953365699736382
-1.1471401929347607,-0.38416092831978343
-1.146665198047107,-0.38161214448158703
-1.1463974225083864,-0.3561618302466711
-1.1444059491039564,-0.42169089452467495
-1.145352307609893,-0.45292712791323625
-1.14659063369213,-0.3713983278840697
-1.1472078912176125,-0.3523436893276172
-1.1473783448905959,-0.29615502280967837
-1.147328898436861,-0.2527863810839686
-1.1475924770301096,-0.18068928862406433
-1.1497575052406308,-0.14970040640049384
-1.1536291116288029,-0.27958237558338217
-1.1952371041762135,-0.6825490698694323
-1.2375795762379826,-0.834784353279977
-1.2610334702212327,-0.47152676654302456
-1.2708754766859751,-0.2651831852682139
-1.2778549896695937,-0.2890763189216053
-1.2825438891281093,-0.3810248646658936
-1.2847417497138325,-0.5024157598764939
-1.2868757094369394,-0.5837846300842621
-1.2895127472989596,-0.6461549156710138
-1.290592104008258,-0.7087810755877704
-1.2931432926423867,-0.7817113425804882
-1.2945630622560977,-0.864583098772829
-1.2941365772143798,-0.9952331755638848
-1.2971442524598986,-1.0865773178185303
-1.29709276719566,-1.2001464053506303
-1.2974573955202413,-1.2804091009450635
-1.298297656458364,-1.3007200311348337
-1.2977197008876598,-1.2837638260944664
-1.2989271331042647,-1.3276912718677738
-1.3003284452173254,-1.3935736320571952
-1.3009283534209977,-1.4451334617598348
-1.300041144437565,-1.5075697715587528
-1.2999971358335007,-1.5709848643767845
-1.299777383562754,-1.6491919524230199
-1.3009740597468402,-1.7287937985741735
-1.3004497655486225,-1.7969689883928635
-1.3002672249879048,-1.8921582500005598
-1.2999177144662022,-1.9755757721239047
-1.3009969152976306,-2.043131947801155
-1.3005705750447454,-2.1008083433046867
-1.2997260786967462,-2.1516468054524562
-1.300072175004908,-2.208773883364934
-1.299253931521273,-2.280564186253191
-1.2994386931317297,-2.3461908245112983
-1.2982471713878172,-2.435823366674099
-1.2986019114432825,-2.5084610344587537
-1.2999994229291996,-2.5566313377839256
-1.2987168101506656,-2.609516719576508
-1.2984396208141693,-2.6492690734674174
-1.2974910979342218,-2.6942634274713186
-1.2980707741275923,-2.7411068684486457
-1.2976793930517874,-2.762301611018329
-1.2977934046287722,-2.7917914734421005
-1.2974815076597281,-2.8236617956895906
-1.297847177963646,-2.8631167949970786
-1.2972377208507997,-2.893942042855069
-1.2974458755836058,-2.9266439563826077
-1.2982630371924204,-2.946886322980224
-1.2979638092372305,-2.9637074221700987
-1.2987140842076563,-2.970479063586796
-1.298008050631351,-2.980114586240855
-1.2979046009408715,-2.9932686211694874
-1.2982533627456088,-2.9969942427002407
-1.2977461846388476,-3.006026773998532
-1.2976133191425805,-3.020132942799435
-1.2974521888950432,-3.0515915041233552
-1.2970651810136005,-3.0737126385316453
-1.2978051520756633,-3.0987588359106755
-1.2966805272399735,-3.127908869191891
-1.2957308262508331,-3.1408859833098437
-1.2960591475637546,-3.1235848804367103
-1.2968210910763724,-3.150421937854156
-1.2974075223267156,-3.191892762344219
-1.2980917103984468,-3.225359594423764
-1.2966370386991215,-3.2908747566833383
-1.2973099208102585,-3.3187485002076977
-1.2976780105504107,-3.390716636758488
-1.2966481402102565,-3.505620947602247
-1.2965772953342631,-3.622367527819487
-1.2980259840841832,-3.7226448146992452
-1.2977887408213464,-3.8218260096371606
-1.2986319397329134,-3.929198079516426
-1.2984410440071568,-4.012687043345295
-1.2987040648197556,-4.098222710525201
-1.299938801063865,-4.179939464874214
-1.2996739475006933,-4.259364129511643
-1.298945806817935,-4.330220103441219
-1.298719935664698,-4.402871231524079
-1.2990255845858831,-4.463517781364424
-1.2991976875374989,-4.521076517781024
-1.2985744912950992,-4.582538059208579
-1.2996715319643668,-4.636476146359552
-1.2992004652549656,-4.708874845161026
-1.2991488056975438,-4.774635811678423
-1.2986523490767314,-4.842448262257648
-1.2991639795606849,-4.901190803231937
-1.2996737705515686,-4.963178779280263
-1.2991676623039952,-5.025904216658603
-1.2992897066652231,-5.073979879900247
-1.29875900590895,-5.1405289432112395
-1.3004158944757271,-5.208264999691786
-1.2989312111990725,-5.2833628689537795
-1.2983051436163142,-5.336545294383106
-1.2980823664294296,-5.39313314405198
-1.2971740740441935,-5.450368721482955
-1.2952518061147662,-5.487396748131552
-1.2928042957386936,-5.504241244244173
-1.2923069614903602,-5.548194167240729
-1.2895288556502174,-5.573643253390626
-1.290091127538551,-5.60417673066023
-1.2918026031234129,-5.6612005784960795
-1.291390344722947,-5.675933913346266
-1.292590274722158,-5.723248678189861
-1.292743066471029,-5.757393732441101
-1.2933279896497447,-5.81183203965095
-1.2928542544383592,-5.8504973375299345
-1.2927347420869177,-5.90915708495831
-1.2920273248651577,-5.930399321549254
-1.2925344897329278,-5.953135219707716
-1.2926999908996537,-5.9782331792591386
-1.292188262318877,-6.007117327058864
-1.2925768550455732,-6.02982116278272
-1.2925371570412603,-6.042941356418956
-1.291092458107627,-6.029267220678065
-1.2926291067363007,-6.022455634266287
-1.2934319284355251,-6.038907365477932
-1.2923088772900124,-6.072956611493014
-1.2932063100084952,-6.098634356305049
-1.2923668708219131,-6.1200198345444585
-1.2926807012162775,-6.155860798682769
-1.2935802180761116,-6.166995058724799
-1.292429210697322,-6.175169247340663
-1.2928344137241372,-6.172732814645617
-1.292870638862661,-6.1613311811093805
-1.2910539381507051,-6.130710884684577
-1.291668525458927,-6.086103032356712
-1.2910337032061252,-6.059969952755846
-1.2905217765571717,-6.0272503859838835
-1.2897128046354944,-6.03124910773568
-1.2899818582856641,-6.027657421774657
-1.2869776096968184,-5.967844355179691
-1.2860116429733892,-5.832120652725649
-1.287240248113107,-5.783516300445622
-1.2873903880821567,-5.806389024677024
-1.2879220063876906,-5.845262358211719
-1.2892970222311957,-5.873135387026159
-1.2897117614360092,-5.892575152354024
-1.2896423529063383,-5.915607970374881
-1.2905618293522922,-5.937340591827954
-1.28961894580053,-5.957171932110302
-1.2900221144732016,-5.979748660011929
-1.290473883975818,-5.991514066858643
-1.291073689627587,-6.007081045548714
-1.2916314654888685,-6.022798081956724
-1.2908277005034285,-6.01704648913054
-1.2915936866957987,-6.026391678789928
-1.2915351945883722,-6.033415137164919
-1.2911172360502183,-6.054137030595967
-1.2913708471865026,-6.0853056694217065
-1.2908946215798527,-6.123014255044304
-1.2904893666036503,-6.179665441743716
-1.2905057323252844,-6.248195930407705
-1.2887534899470592,-6.339428667032026
-1.2883657180454071,-6.413362393665486
-1.2889493163800043,-6.491817236611673
-1.2884387718067851,-6.5719173686324
-1.287483366993508,-6.685805839945043
-1.2873301778928843,-6.791926986537584
-1.2877535687762134,-6.851221158502034
-1.2890220182006427,-6.902994428335607
-1.2894010399335538,-6.945423086639287
-1.2899310620219684,-6.981080551473226
-1.2906024399361449,-6.98268834584529
-1.2907221559254047,-6.898315475416918
-1.2913425119906472,-6.91061746072215
-1.2907916861141293,-6.943890776800496
-1.2909410140816786,-6.996784043953674
-1.291283510657205,-7.050041877120955
-1.2916148634749185,-7.120927944456331
-1.2912364285235147,-7.186527684869882
-1.2916100687737413,-7.264641496665876
-1.2915739733329292,-7.344820589757566
-1.2918505463245538,-7.40183738338147
-1.2922985132774607,-7.421024350862341
-1.2925909898838173,-7.446143640416929
-1.2928185142429622,-7.476355176168131
-1.2932396607240224,-7.50149737676415
-1.291268271427289,-7.516740299745472
-1.2901482485484177,-7.524509161367932
-1.2886387488539985,-7.593805763962526
-1.2900260624548683,-7.636609356202205
-1.290063860968437,-7.643782432980118
-1.2903221142375725,-7.616634370247326
-1.289830371868481,-7.6459927505866006
-1.2899460641177047,-7.680288530404817
-1.2906871005212606,-7.729537942645052
-1.291379281296203,-7.7628667178661175
-1.2908323194736646,-7.8033293430666335
-1.2915450485794706,-7.81885218423712
-1.2913163568781598,-7.8375588362584905
-1.2912354865699567,-7.862578155631348
-1.2918357329343757,-7.876027241737533
-1.2918626380647653,-7.889032659832659
-1.291672592613057,-7.886683278432237
-1.2917861870073617,-7.879852272736359
-1.2912719922996996,-7.862700487835955
-1.290994949437707,-7.844721913265009
-1.291098739607777,-7.844064095282936
-1.291223474103671,-7.842689334462563
-1.2916715129783523,-7.8526696403001575
-1.291637063103118,-7.866863108497183
-1.291462921733468,-7.883610845019124
-1.2919023825236549,-7.884041881049536
-1.2919197959263635,-7.90238650015918
-1.2926682539374839,-7.901914836301292
-1.292275106602831,-7.909369280400964
-1.2921761294564305,-7.9192917295702845
-1.2928443252337536,-7.936260197512153
-1.2929607863786026,-7.94061674932219
-1.2931731281974925,-7.952817280173269
-1.2935759457734606,-7.972373428890815
-1.2927293139423532,-7.9927164649144675
-1.2931484892683962,-8.022329120329948
-1.2932553996761107,-8.036162044664538
-1.2940116556688794,-8.044552812748835
-1.2937224768152813,-8.064386613828704
-1.2950174714588492,-8.104023658608622
-1.2943045704352218,-8.129698164130193
-1.2944283495915085,-8.155882489148455
-1.2937070505179566,-8.162209936100018
-1.2940119299947994,-8.176928073625835
-1.29387882858196,-8.190725074808588
-1.294341413222489,-8.197683959434142
-1.294166921165294,-8.214151713070363
-1.29382167722501,-8.218194385194462
-1.2947422785720712,-8.226951974024097
-1.2949790018309772,-8.23410036243499
-1.2939252229593328,-8.249627310884442
-1.2942409113006847,-8.25264128063731
-1.2941540675681158,-8.264149032183914
-1.2942839994065447,-8.260965895310552
-1.293777687683409,-8.261651006990519
-1.2933210609227006,-8.27645013007761
-1.2933563924710691,-8.272143747748212
-1.2940187238838519,-8.271899617405417
-1.2924732060015838,-8.29009439193761
-1.2925617249916586,-8.29463654274966
-1.291266217903203,-8.338560335591621
-1.2907991958034923,-8.391206027809519
-1.2904657728997753,-8.469870884504457
-1.2894013789028995,-8.524074624787657
-1.2891493784577988,-8.59263594311815
-1.2898590928266196,-8.530903315654593
-1.2902430477677147,-8.509552953306022
-1.291210816100567,-8.538737320744234
-1.291183713748415,-8.523355166841295
-1.2917726918469803,-8.531503918700935
-1.291510185228336,-8.605431257837758
-1.2909974117966745,-8.738283006261579
-1.2911287909341986,-8.794748160002472
-1.2920560882825483,-8.834606374058458
-1.2912408272151654,-8.888795680291222
-1.291861473365101,-8.943486795729717
-1.2921946572688945,-9.00143020063999
-1.2923149192223122,-9.12945995529614
-1.2920160285205764,-9.131913188441931
-1.292588028071875,-9.128587803419817
-1.2923267235412679,-9.145976190389447
-1.2918561360237746,-9.12158375681825
-1.2927006051342156,-9.125992881622151
-1.2927097637625358,-9.105630481275623
-1.2922287107367245,-9.068210660076979
-1.2930701239502251,-9.071664431315236
-1.2933875248407756,-9.08398893440766
-1.2935249055645635,-9.10900261892714
-1.2928125033867015,-9.14715099295311
-1.2929989818109706,-9.1415799489367
-1.2935646526743445,-9.149690681276242
-1.295651169421373,-9.166819154807216
-1.2936027314784502,-9.200426885495498
-1.2946419363390254,-9.179286485587948
-1.2945528634931218,-9.167241557054085
-1.294869695488323,-9.163203619205808
-1.2964149575792858,-9.174179773305957
-1.2961537056130175,-9.174486151576216
-1.2959062514739637,-9.18512096236253
-1.2963098431749385,-9.203133253721246
-1.2937955686218734,-9.26887705266046
-1.2924744364336964,-9.329027231659568
-1.2929111089393377,-9.317113127081734
-1.2941755252828546,-9.25229473760366
-1.2938773512311565,-9.219429356004081
-1.2928132614660461,-9.163425961364604
-1.2934548575827798,-9.124430301000462
-1.29371426786245,-9.091814978557402
