Critic Loss,Generator Loss
-2.9770547141289674,-0.6059718563192794
-1.38236778594261,-2.35019730855883
-1.2492656572861633,-1.0718910837480065
-1.2010179587476928,-0.25496343051948817
-1.1829511145757179,-0.20699227581092816
-1.1716084425733597,-0.2873142049879859
-1.1637282864789877,-0.31130873202884785
-1.155839239094021,-0.26521564732848396
-1.1493370774658125,-0.22935909973144425
-1.1463260711464598,-0.13838889798720033
-1.1489996916831,-0.0683534274995881
-1.150559245175449,0.0113578400364436
-1.1547254793780193,0.060534700448568325
-1.1634661744232435,0.02701609048893056
-1.1622501265336136,-0.09532633449777014
-1.1634318395578447,-0.1346543299941955
-1.1646910607532834,-0.33947862470128043
-1.1644780445769125,-0.32498185557020387
-1.1694296275709304,-0.3181325685014333
-1.1693699875337866,-0.3102589495800139
-1.1698956574277979,-0.271696407280536
-1.1694752497638756,-0.2768658135342782
-1.1692203696825998,-0.2388465798481677
-1.1669507590117902,-0.17125112076492327
-1.1669935843726922,-0.1567580960704563
-1.1678383850861358,-0.11305777115519919
-1.1666170791270891,-0.0755002167009462
-1.1678768452077604,-0.05415946262945143
-1.1694909469924473,-0.03138412378511127
-1.1706258253405784,0.005109233985278367
-1.1729913523936375,0.05573591901129958
-1.171218341582015,0.05663002551522383
-1.171978303922362,0.0429519712761779
-1.1729585240684848,-0.04852091951267722
-1.1809930917971991,-0.14935421792962647
-1.2073047312191556,-0.5928021566142644
-1.237420334067331,-0.8239797049120561
-1.2555557275870424,-0.7233145583125589
-1.2680159426124724,-0.8780331831806504
-1.2739963602778384,-1.0408535878800242
-1.2769655625304033,-1.1304586262131784
-1.2817208275848335,-1.2582744146424776
-1.2802904039702214,-1.4042971918834453
-1.2795756217566956,-1.4622919088290232
-1.285251210911247,-1.5210978534864323
-1.2877425186581568,-1.5980765863709476
-1.2842977247036487,-1.5915848671314294
-1.2880403704211458,-1.6362570935175609
-1.288158557816182,-1.599774477746915
-1.2924471026634474,-1.6616578790654366
-1.2923856434838605,-1.7721626080907817
-1.2923558911256605,-1.907756028037699
-1.2944422463979308,-2.0387996729959577
-1.292758422720566,-2.156293912964953
-1.2914574022744008,-2.2257618505658416
-1.2931245578561743,-2.295953892241744
-1.2917184085954125,-2.3581012913973964
-1.2916309198590732,-2.4272872116274993
-1.2922236164012624,-2.4907863887822628
-1.2932542091741355,-2.5654110132111536
-1.2929844761085196,-2.627999617189838
-1.2951094908198604,-2.6861033854497656
-1.2932516478430538,-2.75388890957418
