Critic Loss,Generator Loss
-3.615112275783951,-0.1649406800365557
-1.4955246693622737,-2.497116394848969
-1.2977889070851454,-1.7581517109511962
-1.2364670634101587,-1.046745371175879
-1.2040749051461956,-0.8815161524815874
-1.1878492067568767,-0.62646000572032
-1.1754177792213674,-0.38903470008893914
-1.1637218053118228,-0.2201189529169155
-1.1584021984835011,-0.33735748946994676
-1.1588268866375735,-0.399638135582099
-1.1565318057061371,-0.24724839593800021
-1.161324953524522,-0.13628303039758702
-1.162720364994467,0.09742381687100231
-1.1640978661666872,0.15415471549440424
-1.1637729320486105,0.26855509785836096
-1.1639378440859667,0.20668518885785725
-1.1646830864670155,0.24023964344458104
-1.163338210895446,0.19301696311929406
-1.1636709189712744,0.2041543746829288
-1.162410455093058,0.3247124910568287
-1.1623389351133564,0.25867127241663157
-1.1627292339623296,0.2687264815842539
-1.161430043584891,0.3724438847259852
-1.1625080500883127,0.35076952821566676
-1.1620385625854044,0.4203231208263779
-1.1601625381129832,0.4610736382136299
-1.1610292458046503,0.5068556430675757
-1.161704134480952,0.5393647500929797
-1.1614478566840185,0.5869756762657125
-1.1616959574376735,0.7183058054988684
-1.1607243357543233,0.7373492223706793
-1.1617519442694075,0.7639521948921555
-1.162878869947737,0.754765244561204
-1.167014237647697,0.5740558271059
-1.1849630640210878,-0.1338810704715045
-1.2268411845434004,-0.8518217333244855
-1.25326973390609,-0.8389110889479967
-1.2674730066945523,-0.7206546698790973
-1.275492983344281,-0.7330593170127536
-1.2803943823874098,-0.9504378449338302
-1.2834967749559798,-1.188009277304349
-1.286820108455838,-1.3821281451656684
-1.289932940485703,-1.5277073167902904
-1.2919368752330556,-1.6385460956657283
-1.294405156565144,-1.7032338882265319
-1.2957218450874182,-1.7508241893418341
-1.296640373583494,-1.8003409059812787
-1.2964503097649012,-1.84298816989779
-1.2972087935605703,-1.8870048540838211
-1.2986226858647154,-1.9139306205623556
-1.2972554762594148,-2.0115865443792176
-1.2981028989829893,-2.082866284205168
-1.2980384990515206,-2.1406486715362627
-1.2978211170657117,-2.1663576223775407
-1.2991193546424205,-2.1968812539531286
-1.2987843012959228,-2.2293840187848013
-1.2981620068447195,-2.2780149989939233
-1.2999412541794286,-2.342139018551455
-1.29960816271579,-2.388299953145156
-1.2992298123608248,-2.446605092272259
-1.2985485440007838,-2.481053337145003
-1.2975673569161248,-2.531116074708329
-1.2976079987452411,-2.5886486149798844
-1.2971720115777448,-2.6430408451751832
-1.2959031288913851,-2.6974815518208146
-1.2900897864306673,-2.7587976625977606
-1.2939534040717877,-2.7379166315729235
-1.2954619934088392,-2.7068830667343753
-1.2914903612911823,-2.747417626783003
-1.2933895154998079,-2.6962891803702003
-1.2941579923364648,-2.640561430322831
-1.2921832729162945,-2.6484535453249753
-1.2934545973684735,-2.5971706161371277
-1.2938716554238474,-2.588157658035498
-1.2952499093095158,-2.712005885430256
-1.294473542490158,-2.834765385768108
-1.2942969740695534,-2.8884516164900185
-1.2970434855961137,-2.9073696935402595
-1.294032176823722,-2.9440656278967174
-1.2952167718876877,-2.96664284026004
-1.293964048097338,-2.985561086710748
-1.2927233716096924,-2.9872211996813918
-1.2936818016945857,-2.980770351435438
-1.2935280012055943,-2.996164504670128
-1.2946222574434605,-3.0594255759779614
-1.2936001033304179,-3.1136674478080955
-1.2938543201869133,-3.1490101323938307
-1.2945480543533892,-3.1786182356378028
-1.2929634656211337,-3.213543708087904
-1.2939614658767407,-3.245791875472228
-1.2943428436469369,-3.264770740106302
-1.2947045126205994,-3.3116966700629598
-1.2935757317837733,-3.3471445720709143
-1.2949796372638862,-3.3719763645305942
-1.294279817994223,-3.4098968076139884
-1.2951843412263104,-3.4257532129478894
-1.295042393335615,-3.4478568749932426
-1.2942926672954345,-3.4445981699087533
-1.2960543019417512,-3.4550845095411065
-1.2950638955989364,-3.4684167523424088
-1.2945560712313742,-3.4790395466911854
-1.2950929487200857,-3.4958106485313096
-1.2945908515170994,-3.499037436067232
-1.2940732086774671,-3.504532005361239
-1.2946934028607728,-3.511965900989055
-1.2939757710053108,-3.571751238273766
-1.2965554740455631,-3.6013741277558924
-1.29482701454366,-3.6090052866394275
-1.294630826116642,-3.600531015396347
-1.293504405613354,-3.5471854493606263
-1.2930124589068348,-3.4514167502681627
-1.2933158729855672,-3.3735979736333226
-1.29348114913354,-3.3218046107749446
-1.2916644390417493,-3.3012875143660776
-1.2931812068166513,-3.2386975497719606
-1.2941467614064706,-3.226081009511818
-1.2951765652191125,-3.2347284027362924
-1.293122468703877,-3.224674899916365
-1.2934097575239971,-3.196465952823882
-1.2930565071552131,-3.186058510340988
-1.2942323481339189,-3.181232540070212
-1.2919881485971507,-3.196625729725076
-1.2933988260016465,-3.1893635507675464
-1.2952605314558363,-3.2045756298351806
-1.2933094793189288,-3.3436681509753186
-1.293600028143756,-3.360765328154148
-1.2934392236812422,-3.343571856784481
-1.292577700810002,-3.333117302766704
-1.2928378527854347,-3.3198809164682554
-1.293518801031406,-3.3281766904877212
-1.292760687218319,-3.342258008459231
-1.2928067930667182,-3.3547828221334415
-1.2936346504195841,-3.3924008028113097
-1.2927209005322295,-3.519166262374927
-1.2942024827014453,-3.6186400225848523
-1.2934770894615018,-3.6291142223170203
-1.2941705869280435,-3.6477303475950804
-1.2935186320716845,-3.674605453024573
-1.2943891042597373,-3.6850840968284677
-1.2948322345193093,-3.6931240424097775
-1.2935321907485489,-3.7045072447028495
-1.2940290362938358,-3.7244576402218925
-1.2943077031356691,-3.726677218648445
-1.2947112198269026,-3.7435080840495427
-1.2941041720315116,-3.7698701801348258
-1.2942249910288464,-3.776516782381924
-1.2952820917741834,-3.795532022791747
-1.2941753150189144,-3.819619770262274
-1.2939247705982522,-3.8322993695957983
-1.2938481505522652,-3.865021371458815
-1.2945265878647414,-3.885322379080779
-1.2946747308945692,-3.907429479825444
-1.2944970023984341,-3.924446108864753
-1.2932917780513995,-3.9612208169914167
-1.2910299400108391,-3.991678226699312
-1.2884408296295742,-3.967708531020021
-1.2917581566243455,-3.9675902680590025
-1.2915696913136672,-3.987675217678915
-1.2921008915500347,-4.026698741342919
-1.2926743809091796,-4.0368348324432715
-1.291935173776384,-4.050499764804959
-1.2916957621202634,-4.063870932622245
-1.2935825460416472,-4.078236621610956
-1.2938414500165194,-4.073421888860738
-1.2939305291348364,-4.07404933941708
-1.2945157123049016,-4.076950731365393
-1.2942065382678765,-4.079255467121889
-1.293768593524228,-4.063880313462928
-1.2933576640296665,-4.0176161135271045
-1.292404575098057,-3.939667808226591
-1.2914992665535632,-3.9205223039977866
-1.292754635789638,-3.9033421047888055
-1.2930669753410045,-3.878087685400918
-1.2931608386707212,-3.8655313354856493
-1.2932944326042877,-3.87083024015611
-1.294531039042551,-3.871098859616237
-1.292991650266866,-3.883276099950192
-1.2946255410184435,-3.8984413938022464
-1.2941002489018467,-3.9232281949599193
-1.2956964639222202,-3.9534815387416886
-1.2943936854592244,-3.989871836590741
-1.2958728287652297,-4.023436281646721
-1.2952922585586102,-4.066546640548118
-1.2967293492726797,-4.11141255611601
-1.296651995925233,-4.128037330076328
-1.297272858712147,-4.12474868784134
-1.2975937387619374,-4.1418748035030895
-1.2973792784085927,-4.17085241234043
-1.298171931438097,-4.19346824859131
-1.298417037463222,-4.2233497411333385
-1.2992271036787937,-4.263483659596782
-1.2988454195952388,-4.295499249349482
-1.2984544968392204,-4.329795465885674
-1.2988443096669589,-4.356503240958008
-1.298761327553807,-4.3773020440469566
-1.299381448330777,-4.416331281962067
-1.2997435353450042,-4.456005016670943
-1.2996517434731865,-4.484775803295489
-1.2999178344355995,-4.507639208269837
-1.3001475008673624,-4.538866106165806
-1.2996812139081735,-4.561831247934473
-1.3002372173377768,-4.580703817059351
-1.3006541367328515,-4.611642185606937
-1.300520960563018,-4.621353685555619
-1.299578036055116,-4.660216647357633
-1.2999551663176054,-4.692607768413467
-1.3000746283976015,-4.7152720250904645
-1.301582009802733,-4.748413678669389
-1.3006156696981785,-4.7744812042399305
-1.3018050070518192,-4.7827153920154375
-1.300187299135919,-4.787047055772472
-1.3013744339897653,-4.798742311440547
-1.3001737574616545,-4.82255179696241
-1.2997250522688664,-4.8410331491140575
-1.3008506735760987,-4.867054416588693
-1.300927955723044,-4.890697782109488
-1.3006615679847997,-4.912804195063112
-1.2996343801263766,-4.9397173803813565
-1.3008592875534966,-4.971742163032178
-1.299603508678526,-4.9929416109115055
-1.3001967808338872,-5.033681511662128
-1.3011392552142398,-5.063232308640936
-1.2999610131736972,-5.079492655622792
-1.3011133117567377,-5.117840522905777
-1.2997811535992012,-5.150778788749521
-1.3008877294385672,-5.169463791437183
-1.2995584972880792,-5.182588705631755
-1.3003756369393613,-5.200164722702569
-1.3000540609944409,-5.23272329494254
-1.2997224886060217,-5.246674892642756
-1.2996320741700174,-5.298617103357543
-1.2984002658142635,-5.3672939515689935
-1.2996419087361648,-5.373936640476872
-1.2996075833690606,-5.340811808476036
-1.3007561504742382,-5.321107123247676
-1.3007097045773703,-5.333265944296707
-1.300633874875383,-5.3398206764758935
-1.3000808584073675,-5.351630769993775
-1.300183598896651,-5.334857350013006
-1.3003917279279555,-5.3382172520447995
-1.3000684113476684,-5.354886029539009
-1.300298776029906,-5.366234884711575
-1.3002052919130167,-5.402702242817567
-1.3011633704947592,-5.40947238105965
-1.2997623239906289,-5.455412963830444
-1.300677055186698,-5.473714165802641
-1.3025373682905792,-5.499548928659876
-1.3001248097535965,-5.535631613046159
-1.3011895026188238,-5.540451463149343
-1.3003171180664836,-5.596288464262466
-1.3002456839784056,-5.6336505230419505
-1.3004006734618823,-5.654192190934416
-1.3002872556471594,-5.6692141435414545
-1.3007450709337856,-5.68551769581125
-1.3014996017303413,-5.7110001002376105
-1.300295451985015,-5.755494902490923
-1.3008227093729676,-5.712054386497444
-1.2997258502915081,-5.688857229678475
-1.3007935814073237,-5.667890312028922
-1.3001924176335455,-5.650675768583524
-1.2998437343927307,-5.642790247746597
-1.3005217864008911,-5.64215373166012
-1.3020698579929546,-5.65484279513266
-1.3011015407904745,-5.647371527617789
-1.301009209300118,-5.658582480749567
-1.3011246897156679,-5.665270669479343
-1.301370356200718,-5.6797565485374895
-1.3018915563094042,-5.6924061515781865
-1.3017308659526545,-5.7140971384014625
-1.301212813986332,-5.732922279009515
