Discriminator Loss,Generator Loss
-7.094368739260735,1.1064913879370268
-2.514533629087667,-4.297835765417261
-1.8132917927163035,-4.18674944343358
-1.5028108571355927,-3.3615773239366273
-1.3459529952342377,-2.8413340005700127
-1.2596361627121926,-2.1485928530583647
-1.2026520519961112,-1.463215784559753
-1.1619401361332342,-1.412002242845701
-1.1401660484209493,-1.3161103238404246
-1.1423564381956,-1.3444020321520564
-1.1372565597049604,-1.393284416360136
-1.1381917866505469,-1.2097972641557224
-1.141691814463926,-1.090538742561777
-1.141657675206356,-1.0573692302794613
-1.143036613926785,-0.9868494466390995
-1.1498513083245183,-0.6270955057780574
-1.150412279267394,-0.49651396574965184
-1.1514840199527907,-0.44776950275222344
-1.154919506206205,-0.44731483950583495
-1.1570621824646317,-0.4703078772883955
-1.1622963848721655,-0.3232045343909524
-1.1636446660160416,-0.2390870243681274
-1.165313786091052,-0.1798520949416296
-1.1654790767979346,-0.22098740511475748
-1.1638797784385901,-0.23084906461485843
-1.1637852186758337,-0.17311266191943278
-1.163517907665583,-0.051278157675687164
-1.1630316510659524,-0.02816140414731671
-1.1622351104029138,-0.0638758707712612
-1.1624336532406239,-0.03501415014314608
-1.1648146351863569,-0.05143515206116216
-1.1654076788460304,-0.039322980408328774
-1.1643535180731373,-0.030353490890232853
-1.1639043281133685,-0.001306070724254127
-1.1632065791301707,0.05518695900167034
-1.1637726969350348,0.09689271928676867
-1.163616250328487,0.10261093034241504
-1.1633989217734046,0.17531598015712946
-1.163295349450535,0.17041651261340118
-1.1629011318417541,0.16326272552299914
-1.1629840843840638,0.14646561596902014
-1.163936616577262,0.05550225738990639
-1.1661484801396949,-0.009609288262122706
-1.171861326181822,-0.285324618282126
-1.1968518163714315,-0.9381122846609502
-1.2269736771453967,-1.3630331899151886
-1.2494406847607398,-1.4520132613088068
-1.2618809483036248,-1.4135344496928286
-1.2692683631758885,-1.3074468400086219
-1.2729503193527927,-1.2504218971077228
-1.276311659768073,-1.2132058743213399
-1.2775162641159454,-1.2010077364018044
-1.2791145725418813,-1.2088438854913706
-1.281200905324572,-1.2278643062173025
-1.2811127768849697,-1.2968317274405976
-1.282523680499797,-1.3822785940798583
-1.2832260549656784,-1.456681707564419
-1.284659846722248,-1.5483009897322226
-1.284102178071904,-1.63249452135413
-1.2838663513142814,-1.7159607592693096
-1.2845901903698789,-1.834626721023739
-1.2853617925128418,-1.9289155892066026
-1.2867735259529518,-2.0528314917688237
-1.287854227427278,-2.1597273373233214
-1.2875516095659632,-2.224978031228194
-1.2887352593024977,-2.286188183898369
-1.2894932628975224,-2.306865209226202
-1.2887754009664454,-2.324698421756977
-1.2881844122471064,-2.2860341631191483
-1.2868035327288982,-2.2417772740227146
-1.287556367632284,-2.229943578993433
-1.2876569232265804,-2.2368219678333086
-1.2878161890295345,-2.2522071870916873
-1.2887826927212813,-2.2678180429662986
-1.289607682491441,-2.2893321785640057
-1.2892924811281703,-2.3023078638238137
-1.288988777796789,-2.3255223658914743
-1.2883174475191943,-2.3280474291846867
-1.2902462261371201,-2.3373268366878146
-1.2892987085049652,-2.3463301860084522
-1.2895107977453864,-2.3893286052067246
-1.2900006831176947,-2.44231186080385
-1.2908410303651217,-2.4809305819643224
-1.2907738322177893,-2.5257313099018828
-1.2918190331379005,-2.565564507937583
-1.2910950286264302,-2.626596313436753
-1.2911691452501814,-2.683105983754587
-1.2914340966914066,-2.765393780446398
-1.2916614674313718,-2.820413596606911
-1.2920512223959026,-2.889045736534027
-1.2929465983533222,-2.946610220173732
-1.2924017108657635,-3.001088210091921
-1.292872620124799,-3.031930287407815
-1.2928896432292303,-3.064538322770661
-1.2923803651958008,-3.0924710737747727
-1.2936322697556786,-3.1102436221324785
-1.2929332321603038,-3.1455619304126854
-1.2922013085220843,-3.194863085934677
-1.2925732498781815,-3.2410765837120654
-1.291597444255301,-3.295194811579558
-1.2925091815243637,-3.3547993193750565
-1.2918763387253018,-3.421045621055205
-1.292048872993398,-3.4638709234333103
-1.291860157778213,-3.52535663075387
-1.2902625191134225,-3.56534437244247
-1.2915554965730172,-3.591082629909571
